date,open,high,low,close,volume,Dividends,Stock Splits
2015/7/15,4531.319824,4547.180176,4517.399902,4528.359863,1691350000,0,0
2015/7/16,4567.060059,4595.02002,4558.319824,4594.899902,1823530000,0,0
2015/7/17,4635.47998,4661.600098,4624.680176,4661.600098,1854450000,0,0
2015/7/20,4670.22998,4694.129883,4657.97998,4679.680176,1814180000,0,0
2015/7/21,4679.540039,4686.359863,4661.759766,4674.410156,1774570000,0,0
2015/7/22,4604.970215,4643.830078,4604.529785,4623.240234,2035730000,0,0
2015/7/23,4627.560059,4641.580078,4592.490234,4602.830078,2003310000,0,0
2015/7/24,4630.950195,4632.060059,4552.399902,4557.370117,2004380000,0,0
2015/7/27,4530.370117,4551.990234,4511.919922,4519.089844,1935470000,0,0
2015/7/28,4539.470215,4568.790039,4506.189941,4560.22998,2025110000,0,0
2015/7/29,4570.5,4586.779785,4552.759766,4581.600098,1898100000,0,0
2015/7/30,4570.77002,4606.649902,4540.97998,4598.589844,1908480000,0,0
2015/7/31,4616.47998,4616.47998,4584.220215,4588.910156,1926360000,0,0
2015/8/3,4595.259766,4607.52002,4549.600098,4580.459961,1790080000,0,0
2015/8/4,4573.25,4584.450195,4551.899902,4567.470215,1819700000,0,0
2015/8/5,4592.810059,4634.700195,4590.189941,4602.240234,2041490000,0,0
2015/8/6,4608.689941,4612.620117,4508.299805,4528.509766,2290950000,0,0
2015/8/7,4519.359863,4532.459961,4485.5,4520.080078,2008360000,0,0
2015/8/10,4558.680176,4583.629883,4554.629883,4573.109863,1784930000,0,0
2015/8/11,4548.75,4567.689941,4491.060059,4513.990234,1912340000,0,0
2015/8/12,4475.910156,4539.180176,4436.540039,4528.189941,2089460000,0,0
2015/8/13,4536.959961,4556.140137,4514.450195,4519.319824,1632340000,0,0
2015/8/14,4512.879883,4536.200195,4503.830078,4530.740234,1487630000,0,0
2015/8/17,4516.879883,4568.589844,4507.97998,4566.370117,1510790000,0,0
